service_id,nom,description,type,university_id,date_creation
0,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur,97,2012-08-23
1,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Master,73,1990-12-14
2,Architecture,Formation en conception et gestion de structures civiles,License,51,1995-12-12
3,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,2,1986-04-10
4,Génie Industriel,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,82,1983-10-30
5,Génie Industriel,Formation en conception et gestion des systèmes électroniques,License,26,1990-11-08
6,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,Master,46,2021-10-12
7,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master,45,1979-08-18
8,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,25,1998-12-07
9,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur,51,1994-05-31
10,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,17,1980-10-08
11,Mécanique,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,69,1992-10-04
12,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat,30,2023-05-21
13,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Doctorat,72,2006-08-20
14,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",License,43,1987-09-10
15,Mathématiques Appliquées,Formation en développement logiciel et systèmes informatiques,Master,19,2010-05-18
16,Génie Civil,Formation en conception et gestion des systèmes électroniques,License,38,1997-10-17
17,Génie Civil,Formation sur la gestion et l'amélioration des processus industriels,Master,54,2002-09-27
18,Électronique,Formation en conception et gestion des systèmes électroniques,Doctorat,50,1999-04-20
19,Mécanique,Formation en conception et gestion de structures civiles,Master,86,2002-07-30
20,Mathématiques Appliquées,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur,57,2006-05-18
21,Génie Industriel,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,27,2024-03-25
22,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,License,67,1976-04-12
23,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,1,2021-12-20
24,Électronique,"Formation en conception, fabrication et maintenance de machines",License,62,1994-07-11
25,Génie Civil,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat,11,1999-10-08
26,Électronique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,91,2017-02-03
27,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,24,2016-03-11
28,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License,73,1985-09-29
29,Informatique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License,31,1985-03-07
30,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,90,2011-01-31
31,Électronique,Formation en conception et gestion des systèmes électroniques,Doctorat,69,1977-11-05
32,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Master,52,1989-09-25
33,Électronique,Formation en conception et gestion de structures civiles,License,45,2018-02-11
34,Informatique,Formation en conception et gestion des systèmes électroniques,Doctorat,37,1989-10-29
35,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Master,44,1975-04-04
36,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,82,1993-03-01
37,Génie Industriel,Formation en conception et gestion des systèmes électroniques,License,68,2019-07-07
38,Génie Civil,Formation en conception et gestion de structures civiles,Cycle ingénieur,20,1989-04-27
39,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur,50,1976-08-29
40,Électronique,Formation sur la gestion et l'amélioration des processus industriels,License,2,1998-01-28
41,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,License,95,1984-03-13
42,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master,53,1996-02-06
43,Génie Civil,Formation en conception et gestion de structures civiles,Master,76,1990-01-02
44,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat,38,1985-12-14
45,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur,99,1980-03-23
46,Informatique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur,15,1998-10-28
47,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Doctorat,59,1990-02-21
48,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License,84,2008-11-24
49,Génie Civil,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur,74,1982-04-08
50,Mécanique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur,56,2016-05-18
51,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,License,67,2023-07-28
52,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Master,5,1991-07-31
53,Informatique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,97,1994-02-25
54,Télécommunications,Formation en conception et gestion de structures civiles,Doctorat,51,1979-06-08
55,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,Master,18,2018-04-08
56,Génie Civil,Formation en conception et gestion des systèmes électroniques,Master,84,2012-02-23
57,Génie Industriel,Formation en conception et gestion des systèmes électroniques,License,83,1992-07-10
58,Informatique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat,84,2006-10-28
59,Informatique,Formation en développement logiciel et systèmes informatiques,Master,33,2011-05-17
60,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Doctorat,98,2018-02-02
61,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur,98,1994-07-24
62,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,Master,96,2010-09-10
63,Mécanique,Formation en conception et gestion de structures civiles,License,35,1980-06-29
64,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,License,90,2002-11-06
65,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master,50,2008-09-30
66,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur,66,1994-06-13
67,Architecture,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur,75,1979-12-24
68,Informatique,"Formation en conception, fabrication et maintenance de machines",Master,47,1988-07-05
69,Génie Industriel,Formation en conception et gestion des systèmes électroniques,License,78,1999-04-09
70,Génie Industriel,Formation en conception et gestion de structures civiles,Master,55,1991-12-21
