id,nom,description,type
1,Génie Industriel,Formation en développement logiciel et systèmes informatiques,License
2,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,License
3,Génie Civil,Formation en conception et gestion des systèmes électroniques,Master
4,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,Master
5,Informatique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
6,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Doctorat
7,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",License
8,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
9,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
10,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
11,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,License
12,Ingénierie des Systèmes,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur
13,Génie Industriel,Formation en conception et gestion de structures civiles,License
14,Mécanique,Formation en conception et gestion d'espaces architecturaux et urbains,Master
15,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
16,Ingénierie des Systèmes,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
17,Informatique,Formation en développement logiciel et systèmes informatiques,Doctorat
18,Architecture,Formation en conception et gestion des systèmes électroniques,Master
19,Génie Civil,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
20,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Doctorat
21,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
22,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
23,Mécanique,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
24,Mathématiques Appliquées,Formation sur la gestion et l'amélioration des processus industriels,License
25,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
26,Télécommunications,Formation en conception et gestion des systèmes électroniques,Master
27,Mécanique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
28,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
29,Informatique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
30,Mécanique,Formation en conception et gestion de structures civiles,License
31,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
32,Ingénierie des Systèmes,Formation en conception et gestion des systèmes électroniques,Doctorat
33,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,License
34,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Doctorat
35,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,License
36,Ingénierie Environnementale,Formation en conception et gestion des systèmes électroniques,License
37,Génie Civil,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
38,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
39,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,Doctorat
40,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,License
41,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
42,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Doctorat
43,Génie Industriel,Formation en conception et gestion des systèmes électroniques,Doctorat
44,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Master
45,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Master
46,Télécommunications,Formation en conception et gestion de structures civiles,License
47,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
48,Informatique,Formation en conception et gestion de structures civiles,Cycle ingénieur
49,Télécommunications,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
50,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Doctorat
51,Mécanique,Formation en conception et gestion des systèmes électroniques,License
52,Électronique,Formation en conception et gestion des systèmes électroniques,License
53,Architecture,Formation en développement logiciel et systèmes informatiques,Master
54,Télécommunications,Formation en conception et gestion des systèmes électroniques,License
55,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
